14.504,36.843
14.817,36.167
15.142,35.491
15.481,34.815
15.834,34.139
16.202,33.463
16.588,32.787
16.99,32.111
17.412,31.435
17.853,30.759
18.314,30.083
18.8,29.407
19.31,28.732
19.846,28.056
20.411,27.38
21.007,26.704
21.635,26.028
22.301,25.352
23.006,24.676
23.754,24
24.548,23.324
25.393,22.648
26.295,21.972
27.26,21.296
28.291,20.62
29.399,19.944
30.591,19.268
31.876,18.592
33.267,17.916
34.776,17.24
36.419,16.564
38.213,15.889
40.18,15.213
42.347,14.537
44.743,13.861
47.406,13.185
50.382,12.509
53.729,11.833
57.518,11.157
61.841,10.481
66.815,9.805
72.596,9.1291
79.389,8.4531
87.48,7.7772
97.262,7.1012
109.32,6.4253
124.5,5.7493
144.18,5.0734
170.58,4.3975
207.74,3.7215
211.77,3.7215
222.89,3.7215
235.21,3.7215
248.1,3.7215
261.58,3.7215
275.67,3.7215
290.37,3.7215
305.71,3.7215
321.68,3.7215
338.29,3.7215
355.56,3.7215
373.49,3.7215
392.1,3.7215
411.37,3.7215
431.34,3.7215
452.03,3.7215
473.42,3.7215
495.55,3.7215
518.42,3.7215
542.05,3.7215
566.47,3.7215
591.7,3.7215
617.75,3.7215
644.62,3.7215
672.4,3.7215
701.06,3.7215
730.64,3.7215
761.17,3.7215
792.68,3.7215
825.15,3.7215
858.6,3.7215
893.01,3.7215
928.4,3.7215
964.71,3.7215
1001.9,3.7215
1039.9,3.7215
1078.6,3.7215
1117.8,3.7215
1157.5,3.7215
1197.5,3.7215
1237.7,3.7215
1277.9,3.7215
1317.9,3.7215
1357.9,3.7215
1397.6,3.7215
1437.2,3.7215
1476.5,3.7215
1515.6,3.7215
1554.5,3.7215
1276,4.3975
1077,5.0734
928.26,5.7493
813.16,6.4253
721.65,7.1012
647.29,7.7772
585.75,8.4531
534.07,9.1291
490.08,9.805
452.24,10.481
419.36,11.157
390.56,11.833
365.13,12.509
342.54,13.185
322.35,13.861
304.19,14.537
287.8,15.213
272.92,15.889
259.37,16.564
246.99,17.24
235.61,17.916
225.14,18.592
215.48,19.268
206.55,19.944
198.24,20.62
190.52,21.296
183.33,21.972
176.6,22.648
170.29,23.324
164.39,24
158.83,24.676
153.61,25.352
148.68,26.028
144.03,26.704
139.63,27.38
135.46,28.056
131.52,28.732
127.77,29.407
124.21,30.083
120.82,30.759
117.59,31.435
114.52,32.111
111.58,32.787
108.78,33.463
106.1,34.139
103.53,34.815
101.08,35.491
98.72,36.167
96.462,36.843
92.875,36.843
89.364,36.843
85.934,36.843
82.595,36.843
79.347,36.843
76.193,36.843
73.133,36.843
70.165,36.843
67.29,36.843
64.506,36.843
61.809,36.843
59.197,36.843
56.668,36.843
54.218,36.843
51.848,36.843
49.555,36.843
47.336,36.843
45.191,36.843
43.118,36.843
41.117,36.843
39.183,36.843
37.32,36.843
35.524,36.843
33.794,36.843
32.13,36.843
30.532,36.843
28.996,36.843
27.525,36.843
26.116,36.843
24.765,36.843
23.477,36.843
22.246,36.843
21.071,36.843
19.951,36.843
18.884,36.843
17.902,36.843
17.648,36.843
17.394,36.843
17.141,36.843
16.887,36.843
16.633,36.843
16.376,36.843
16.12,36.843
15.86,36.843
15.599,36.843
15.333,36.843
15.064,36.843
14.788,36.843
14.504,36.843
